#Transcript position	Transcript coverage profile
0.0	0.06607334400144436
1.0	0.2360243442844204
2.0	0.23832790402239934
3.0	0.22795545446790355
4.0	0.22312676286732497
5.0	0.27484878698003135
6.0	0.38157592396929224
7.0	0.19590629698374828
8.0	0.18044379137138553
9.0	0.1783082212058213
10.0	0.25831637015098796
11.0	0.25043891150113373
12.0	0.3896823457672391
13.0	0.6069559988275762
14.0	0.7499198410987736
15.0	0.7625723773128422
16.0	0.6105121345997786
17.0	0.5484154542259914
18.0	0.5203741892326061
19.0	0.5630959990563142
20.0	0.6322003607389189
21.0	0.774350493865535
22.0	0.9867622402780619
23.0	1.2462183164341036
24.0	1.4824805599968225
25.0	1.828470920384765
26.0	2.00006802602674
27.0	2.208379072206452
28.0	2.1217339081649493
29.0	1.962853689204256
30.0	1.728467549875383
31.0	1.6928198783411663
32.0	1.5819426655677453
33.0	1.3150460318312835
34.0	1.0785813098081416
35.0	0.9953393707225828
36.0	1.0807184656905415
37.0	1.1264064868312074
38.0	1.2635462920062066
39.0	1.3099992597837438
40.0	1.4129932592685437
41.0	1.3327291943377508
42.0	1.2596291491712621
43.0	1.1772223861088735
44.0	1.055663336817854
45.0	1.0114389732327922
46.0	1.0434714865905172
47.0	0.9364653726147808
48.0	0.9563820090220968
49.0	0.993962228964579
50.0	1.1498375075089409
51.0	1.2721586570680077
52.0	1.2049313342383983
53.0	1.1664823471139358
54.0	1.1623234687050685
55.0	1.0192309903553083
56.0	0.9247859260240585
57.0	0.916000608712085
58.0	0.8967767156716118
59.0	0.8761222619143337
60.0	0.9114249831930512
61.0	1.2697069344379641
62.0	1.6960055677707246
63.0	1.5888434073784818
64.0	1.506210178129015
65.0	1.179304118704093
66.0	1.2343067262971406
67.0	1.3121892475706332
68.0	1.283963237659767
69.0	1.1566792481266521
70.0	1.2711936928776675
71.0	1.4874380963191194
72.0	1.6192251610040556
73.0	1.805286313165922
74.0	1.8459585455760363
75.0	1.8101051711593552
76.0	2.031240350925734
77.0	2.2530659721931157
78.0	2.1399157030440596
79.0	1.9160163638310328
80.0	1.5942687538315083
81.0	1.414689419157528
82.0	1.3400368866154397
83.0	1.187309991675114
84.0	0.9752960762196946
85.0	0.7820660756864308
86.0	0.6431298117265497
87.0	0.7077051185709442
88.0	0.788497368693919
89.0	0.5938295522142427
90.0	0.5221208623792086
91.0	0.6180547877847115
92.0	0.5077267829509742
93.0	0.336527688437354
94.0	0.15971692126839854
95.0	0.10313723674335434
96.0	0.17538355482824572
97.0	0.12751028624405866
98.0	0.05985125647971905
99.0	0.0
