#Transcript position	Transcript coverage profile
0.0	8744.069432661594
1.0	12202.89540515161
2.0	13453.094555391313
3.0	14891.00256683401
4.0	16361.341126331132
5.0	16905.869364307597
6.0	17986.371125645102
7.0	18580.583194680366
8.0	19207.53254893614
9.0	19732.609189146864
10.0	20246.679635661058
11.0	21405.82108202409
12.0	21750.233213296782
13.0	22245.628003715974
14.0	23061.672276902482
15.0	23476.835661568864
16.0	23800.82254150264
17.0	24141.502785674547
18.0	24419.49486353892
19.0	24564.100385660502
20.0	24339.02030679886
21.0	25030.318763236566
22.0	25325.175347391705
23.0	25407.765770139962
24.0	25418.562458979686
25.0	25676.744408132625
26.0	26091.33158490194
27.0	26305.04378820741
28.0	26867.818900540275
29.0	26979.657334198386
30.0	27305.564226465835
31.0	28144.628489823463
32.0	28292.25319608844
33.0	28338.993851819476
34.0	28242.443720574967
35.0	28671.412012395733
36.0	29192.45034611125
37.0	29258.83548221907
38.0	30126.929090471487
39.0	30020.3144848507
40.0	29586.801876320977
41.0	29394.409176472916
42.0	29552.02968899909
43.0	29697.235791049803
44.0	30499.83405196402
45.0	30375.41804293888
46.0	30248.59127136033
47.0	30370.238142446913
48.0	30237.111594351307
49.0	31224.304661103917
50.0	31003.265984809546
51.0	31246.185196867245
52.0	31693.044007900902
53.0	32012.108477705373
54.0	32100.44723441088
55.0	31079.353115507038
56.0	30774.7230221553
57.0	30501.855297011454
58.0	30260.30639614035
59.0	30354.165397778557
60.0	30545.172898582714
61.0	30447.35660326344
62.0	30448.14537974242
63.0	29948.298640249024
64.0	29357.554238349305
65.0	28643.581516001424
66.0	28931.553624373635
67.0	28580.578117880876
68.0	28046.143379977893
69.0	28484.582460971404
70.0	28493.66317796496
71.0	28249.79456490779
72.0	27057.72056099317
73.0	26129.365784061065
74.0	25960.179241588412
75.0	24922.270564646617
76.0	23909.53428780047
77.0	23519.341335332756
78.0	22869.62673523977
79.0	22161.44669200693
80.0	21616.964657276774
81.0	20719.873078920114
82.0	19495.40601865156
83.0	18827.30877033335
84.0	17522.87075434491
85.0	16808.38343203047
86.0	15253.085418585457
87.0	14820.659303415645
88.0	13874.507268516132
89.0	12440.432459200267
90.0	11852.612580818983
91.0	10909.71012472684
92.0	9981.368276844547
93.0	8715.17062201992
94.0	7277.506232037387
95.0	5435.820891007166
96.0	3305.367216027433
97.0	1874.9182120655923
98.0	796.9961290768987
99.0	180.03585876317305
