#Transcript position	Transcript coverage profile
0.0	12714.49725239175
1.0	17243.39518349897
2.0	19257.96734291744
3.0	21288.193348262474
4.0	23327.62903703083
5.0	24317.313857854
6.0	25854.60525968666
7.0	26818.272641603588
8.0	27755.35454684344
9.0	28524.806679090772
10.0	29241.94897487972
11.0	30567.755963963
12.0	31060.48035130627
13.0	31684.699434030445
14.0	32610.76261109217
15.0	33035.89900739488
16.0	33486.069144484216
17.0	33895.32156518992
18.0	34214.33439684333
19.0	34467.80695903611
20.0	34294.10452816971
21.0	34998.773141201
22.0	35279.3174446719
23.0	35329.64201942621
24.0	35356.0499477461
25.0	35659.96834053107
26.0	36088.25380911091
27.0	36315.26141427975
28.0	36905.13567133414
29.0	37053.48994223436
30.0	37443.94419924526
31.0	38282.72158923604
32.0	38446.87821808726
33.0	38520.73932793045
34.0	38420.211615373155
35.0	38885.65660822832
36.0	39412.62631872177
37.0	39473.42165804723
38.0	40388.87486757985
39.0	40293.20878935998
40.0	39945.82564625007
41.0	39754.02126303039
42.0	39926.09536267389
43.0	40139.327225269684
44.0	40959.35089930724
45.0	40822.667531604726
46.0	40668.990473464
47.0	40813.53756408448
48.0	40766.267075417214
49.0	41789.91664232204
50.0	41554.909929353315
51.0	41847.135262337506
52.0	42342.819185706634
53.0	42682.398150240675
54.0	42791.087211706144
55.0	41818.78135302657
56.0	41517.48829415268
57.0	41311.21210086413
58.0	41107.74387652256
59.0	41175.37203982885
60.0	41440.25093908087
61.0	41393.990201160625
62.0	41397.44848241188
63.0	40964.45748642522
64.0	40388.13791768565
65.0	39718.85431306052
66.0	40052.440451165785
67.0	39717.36141264887
68.0	39196.01250447338
69.0	39659.07132165397
70.0	39614.81345102294
71.0	39358.739603521106
72.0	38193.31895822894
73.0	37272.24102203811
74.0	37094.04179768844
75.0	35999.127061177074
76.0	34895.484192275
77.0	34424.575753044344
78.0	33738.393494867225
79.0	32956.89517927232
80.0	32317.36843341399
81.0	31316.142475711848
82.0	29966.077160878758
83.0	29137.594000165453
84.0	27671.11738797617
85.0	26762.208887837776
86.0	24896.204211787277
87.0	24092.31397065188
88.0	22643.294064456608
89.0	20733.125809853078
90.0	19691.31058419988
91.0	18284.422646742514
92.0	16784.526303320345
93.0	14648.436691523137
94.0	12489.953797709755
95.0	9872.887696186774
96.0	6816.210970800862
97.0	4313.571455651691
98.0	2165.1948009793296
99.0	587.4509249722189
