#Transcript position	Transcript coverage profile
0.0	0.008247422680412371
1.0	0.0722011139442207
2.0	0.07900816280488068
3.0	0.11734327423186312
4.0	0.1543107621637345
5.0	0.23525261140402198
6.0	0.3555441158252169
7.0	0.518797912921239
8.0	0.3557118591479488
9.0	0.31973096752247776
10.0	0.2995493430053615
11.0	0.43837851235194153
12.0	0.5505138128473533
13.0	0.745658235560915
14.0	0.9449779366223711
15.0	1.0124664695742969
16.0	1.0636044729238139
17.0	1.0309900479921126
18.0	1.0992188580072713
19.0	1.3769074124635332
20.0	1.5384000082576208
21.0	1.4630574858937533
22.0	1.4157250486585014
23.0	1.4641384973369374
24.0	1.404868185029681
25.0	1.4779011553298547
26.0	1.6913263553929212
27.0	1.6820407970368612
28.0	1.6279953252107053
29.0	1.646236779219753
30.0	1.5319773357860433
31.0	1.9411234050922415
32.0	2.1601912688139144
33.0	2.1669307287497954
34.0	2.192540215056208
35.0	2.2712794826126457
36.0	2.161153637992168
37.0	2.288093555884539
38.0	2.370781506714672
39.0	2.6786569022898097
40.0	3.092484557586303
41.0	3.0294900151609623
42.0	2.9131018266679116
43.0	2.606660078135718
44.0	2.8054635005718125
45.0	2.7609771519129023
46.0	2.77908981728043
47.0	2.5580653746673905
48.0	2.5000057012024275
49.0	2.497954981776955
50.0	2.6589718929380624
51.0	2.885893442306103
52.0	2.9140140472942098
53.0	2.663742483230169
54.0	2.491396560486677
55.0	2.460043316664743
56.0	2.5368371832945713
57.0	2.534424016007481
58.0	2.3932375377730843
59.0	2.3482014628653474
60.0	2.1703844495964604
61.0	2.9692938515818823
62.0	3.601016263961779
63.0	3.8308107219128407
64.0	3.263450307058016
65.0	2.841239855202515
66.0	2.9965331169757468
67.0	3.2320477260404448
68.0	2.4685048445153193
69.0	2.147556880678039
70.0	2.0889547916275903
71.0	2.2571526363707166
72.0	2.246933629341414
73.0	2.0782749992052136
74.0	2.0604884390525635
75.0	2.0633476194042664
76.0	2.1540816866660757
77.0	2.2261647519324215
78.0	2.335033490812175
79.0	2.504525135963353
80.0	2.4815872436559014
81.0	2.405642187430995
82.0	2.2463301397202486
83.0	1.8770646808002678
84.0	1.710582511471895
85.0	1.4373133501222861
86.0	1.1543397978944874
87.0	1.2229719139167348
88.0	1.2404154754825
89.0	0.8194434067854413
90.0	0.6066509029767276
91.0	0.6194756763445153
92.0	0.5100761094015238
93.0	0.25912042362038884
94.0	0.10242200392271193
95.0	0.08963053180646505
96.0	0.11505370287099101
97.0	0.08528819871345499
98.0	0.01697756983327049
99.0	0.0
