"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___TS.g4306.t1",10.3349080929433,10.762496741943,10.3349080929433
"Porites_compressa_HIv1___TS.g4318.t1b",10.3349080929433,10.4860716153562,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9678.t1",10.3349080929433,10.5724975240774,10.5487739848696
"Porites_compressa_HIv1___RNAseq.16_t",10.3349080929433,10.3349080929433,10.5487739848696
"Porites_compressa_HIv1___TS.g4333.t1",10.3349080929433,10.5216169033512,10.3349080929433
"Porites_compressa_HIv1___TS.g4347.t2",10.3349080929433,10.3349080929433,10.5777790296993
"Porites_compressa_HIv1___RNAseq.g9713.t1",10.3349080929433,10.9795455046105,10.6143666595864
"Porites_compressa_HIv1___RNAseq.g9717.t1",10.3349080929433,10.556846578862,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9718.t1a",10.3349080929433,10.6978362274413,10.3349080929433
"Porites_compressa_HIv1___TS.g4365.t2",10.3349080929433,10.3349080929433,11.1913737160565
"Porites_compressa_HIv1___TS.g4365.t3",10.3349080929433,10.3349080929433,10.6779763063417
"Porites_compressa_HIv1___RNAseq.g9722.t1",10.3349080929433,10.9849412716687,10.9752671511156
"Porites_compressa_HIv1___RNAseq.g9725.t1",10.3349080929433,10.3349080929433,11.1024092645094
"Porites_compressa_HIv1___RNAseq.g9727.t1",10.3349080929433,11.0903300707196,12.2042786400608
"Porites_compressa_HIv1___TS.g4373.t1",10.3349080929433,10.884528117069,11.0607435998038
"Porites_compressa_HIv1___RNAseq.g9729.t1",10.3349080929433,10.3349080929433,10.5487739848696
"Porites_compressa_HIv1___TS.g4375.t1",10.3349080929433,10.5012081321622,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9733.t1",10.3349080929433,10.3696024132049,10.7715981029514
"Porites_compressa_HIv1___RNAseq.g9743.t1",10.3349080929433,10.9116215234264,11.1196579412545
"Porites_compressa_HIv1___RNAseq.g9751.t1",10.3349080929433,10.3349080929433,10.4837452322051
"Porites_compressa_HIv1___RNAseq.g9757.t1",10.3349080929433,10.5047808028478,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9760.t1",10.3349080929433,10.6793022322164,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9766.t1",10.3349080929433,10.5774883229946,10.8619231280357
"Porites_compressa_HIv1___RNAseq.g9768.t1",10.3349080929433,10.3349080929433,10.5231238323595
"Porites_compressa_HIv1___RNAseq.g9769.t1",10.3349080929433,10.5918744449453,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9771.t1",10.3349080929433,11.2608298723926,10.7879509656222
"Porites_compressa_HIv1___RNAseq.g9775.t1",10.3349080929433,10.3349080929433,10.5777790296993
"Porites_compressa_HIv1___RNAseq.g9777.t1",10.3349080929433,10.6793022322164,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9781.t1",10.3349080929433,10.6522542726821,10.3349080929433
"Porites_compressa_HIv1___TS.g4425.t2",10.3349080929433,10.6615235863523,11.2098782069345
"Porites_compressa_HIv1___TS.g4426.t1",10.3349080929433,10.3349080929433,10.729509184465
"Porites_compressa_HIv1___TS.g4438.t1",10.3349080929433,10.8479805854937,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9798.t1",10.3349080929433,10.3349080929433,11.1303409485914
"Porites_compressa_HIv1___RNAseq.g9799.t1",10.3349080929433,10.9630617336998,11.110632026838
"Porites_compressa_HIv1___RNAseq.g9800.t1",10.3349080929433,10.6054891706143,10.4564510604748
"Porites_compressa_HIv1___RNAseq.g9801.t1",10.3349080929433,10.4389710009279,10.7648773621666
"Porites_compressa_HIv1___TS.g4448.t1a",10.3349080929433,10.3349080929433,11.3266389706723
"Porites_compressa_HIv1___RNAseq.g9809.t1",10.3349080929433,10.5799452554704,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9816.t1",10.3349080929433,10.5823775644451,11.1648615993319
"Porites_compressa_HIv1___RNAseq.g9817.t1",10.3349080929433,10.3349080929433,10.5231238323595
"Porites_compressa_HIv1___RNAseq.g9825.t1",10.3349080929433,10.3349080929433,10.8098703505907
"Porites_compressa_HIv1___RNAseq.g9826.t1",10.3349080929433,10.3349080929433,10.9819328327759
"Porites_compressa_HIv1___RNAseq.g9832.t1",10.3349080929433,10.7154506644944,10.5716433394401
"Porites_compressa_HIv1___RNAseq.g9839.t1",10.3349080929433,11.2260760328401,10.9874321514489
"Porites_compressa_HIv1___RNAseq.g9847.t1",10.3349080929433,10.7983966604665,11.3484301191739
"Porites_compressa_HIv1___RNAseq.g9848.t1",10.3349080929433,10.8726340490196,11.0931584878771
"Porites_compressa_HIv1___RNAseq.g9849.t1",10.3349080929433,10.5847859690273,11.2122596942917
"Porites_compressa_HIv1___RNAseq.g9850.t1",10.3349080929433,10.3349080929433,11.0780958238101
"Porites_compressa_HIv1___RNAseq.g9854.t1",10.3349080929433,10.3349080929433,10.5621265037124
"Porites_compressa_HIv1___RNAseq.g9866.t1",10.3349080929433,10.5541285642126,10.9103429512064
"Porites_compressa_HIv1___RNAseq.g9876.t1",10.3349080929433,10.3349080929433,10.6884829517519
"Porites_compressa_HIv1___RNAseq.g9882.t1",10.3349080929433,11.1083700549306,11.2820438576483
"Porites_compressa_HIv1___RNAseq.g9883.t1",10.3349080929433,10.7638816424299,10.710544615945
"Porites_compressa_HIv1___RNAseq.g9889.t1",10.3349080929433,10.7854445999328,10.7545884675929
"Porites_compressa_HIv1___RNAseq.g9898.t1",10.3349080929433,10.3349080929433,10.9730287706454
"Porites_compressa_HIv1___RNAseq.g9899.t1",10.3349080929433,11.1667917616941,10.5269993114378
"Porites_compressa_HIv1___RNAseq.g9901.t1",10.3349080929433,10.5648063998713,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9902.t1",10.3349080929433,10.8502726823296,10.9536545396998
"Porites_compressa_HIv1___RNAseq.g9905.t1",10.3349080929433,10.5183739536409,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9915.t1",10.3349080929433,10.9236847339755,11.020478635737
"Porites_compressa_HIv1___RNAseq.g9917.t1",10.3349080929433,11.1310115290269,11.5100141955138
"Porites_compressa_HIv1___RNAseq.g9922.t1",10.3349080929433,10.3349080929433,10.5953121765144
"Porites_compressa_HIv1___RNAseq.g9927.t1",10.3349080929433,10.4550609119081,10.9513326833067
"Porites_compressa_HIv1___RNAseq.g9928.t1",10.3349080929433,10.5428988597347,11.0790469653599
"Porites_compressa_HIv1___RNAseq.g9936.t1",10.3349080929433,10.3349080929433,10.4787026771145
"Porites_compressa_HIv1___RNAseq.g9940.t1",10.3349080929433,10.3349080929433,10.7350191714001
"Porites_compressa_HIv1___RNAseq.g9941.t1",10.3349080929433,10.6687507210014,10.3733535840386
"Porites_compressa_HIv1___RNAseq.g9949.t1",10.3349080929433,10.4860716153562,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9955.t1",10.3349080929433,10.3349080929433,10.6063661843706
"Porites_compressa_HIv1___RNAseq.g9968.t1",10.3349080929433,11.1179522887012,11.4667221885841
"Porites_compressa_HIv1___TS.g4617.t1a",10.3349080929433,10.4820434001719,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9984.t1",10.3349080929433,10.8339977074794,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g9990.t1",10.3349080929433,11.515979803325,10.7895528845044
"Porites_compressa_HIv1___RNAseq.g9992.t2",10.3349080929433,10.9116215234264,10.8820943560845
"Porites_compressa_HIv1___RNAseq.g9996.t1",10.3349080929433,10.3349080929433,10.8278567746034
"Porites_compressa_HIv1___RNAseq.g9998.t1",10.3349080929433,10.7814833010426,10.3349080929433
"Porites_compressa_HIv1___TS.g4651.t1",10.3349080929433,10.8084948746691,10.7879509656222
"Porites_compressa_HIv1___RNAseq.g10006.t1",10.3349080929433,11.093369272112,11.1312240962202
"Porites_compressa_HIv1___RNAseq.g10010.t1",10.3349080929433,10.3696024132049,10.4979365680434
"Porites_compressa_HIv1___RNAseq.g10021.t1",10.3349080929433,11.0963952510814,10.6143666595864
"Porites_compressa_HIv1___TS.g4669.t1",10.3349080929433,10.3349080929433,11.1589356912925
"Porites_compressa_HIv1___TS.g4671.t1",10.3349080929433,10.705948751554,10.6513126189038
"Porites_compressa_HIv1___RNAseq.g10035.t1",10.3349080929433,10.3349080929433,13.1829524386879
"Porites_compressa_HIv1___RNAseq.g10042.t1",10.3349080929433,10.3349080929433,10.4680438748438
"Porites_compressa_HIv1___TS.g4704.t1",10.3349080929433,10.3349080929433,10.5381803464919
"Porites_compressa_HIv1___RNAseq.g10078.t1",10.3349080929433,10.4860716153562,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10085.t1",10.3349080929433,10.3349080929433,10.9103429512064
"Porites_compressa_HIv1___RNAseq.g10087.t1",10.3349080929433,10.4779013487581,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10093.t1",10.3349080929433,10.3349080929433,10.5191663875572
"Porites_compressa_HIv1___TS.g4742.t1",10.3349080929433,10.991176554936,11.1005688687744
"Porites_compressa_HIv1___RNAseq.g10107.t1",10.3349080929433,10.497556649966,10.5191663875572
"Porites_compressa_HIv1___RNAseq.414_t",10.3349080929433,10.5774883229946,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10125.t1",10.3349080929433,10.6387947513507,11.5043534250079
"Porites_compressa_HIv1___RNAseq.g10127.t1",10.3349080929433,10.4330219056543,11.5460292394429
"Porites_compressa_HIv1___RNAseq.g10132.t1",10.3349080929433,10.3349080929433,10.9002422342128
"Porites_compressa_HIv1___RNAseq.g10148.t1",10.3349080929433,10.7906710634173,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10152.t2",10.3349080929433,10.3349080929433,10.4787026771145
"Porites_compressa_HIv1___RNAseq.g10155.t1",10.3349080929433,10.6810289723779,10.6419015961423
"Porites_compressa_HIv1___RNAseq.g10161.t1",10.3349080929433,10.3349080929433,10.616982452026
"Porites_compressa_HIv1___RNAseq.g10162.t1",10.3349080929433,11.2286090550375,10.7563212299899
"Porites_compressa_HIv1___RNAseq.g10167.t1",10.3349080929433,10.5871711539299,10.4502172840583
"Porites_compressa_HIv1___TS.g4822.t1",10.3349080929433,10.9216923475455,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10176.t1",10.3349080929433,10.5047808028478,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10185.t1",10.3349080929433,11.0389405590891,10.7732617071715
"Porites_compressa_HIv1___RNAseq.g10194.t1",10.3349080929433,10.5399946782431,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10203.t1",10.3349080929433,10.3349080929433,10.4886218899679
"Porites_compressa_HIv1___RNAseq.g10204.t1",10.3349080929433,10.6032685536214,10.3349080929433
"Porites_compressa_HIv1___TS.g4855.t1",10.3349080929433,10.9013620729627,10.4366072530728
"Porites_compressa_HIv1___RNAseq.g10215.t1",10.3349080929433,10.3349080929433,11.0036407530734
"Porites_compressa_HIv1___RNAseq.g10224.t1",10.3349080929433,10.3696024132049,10.8564063446669
"Porites_compressa_HIv1___RNAseq.g10250.t1",10.3349080929433,10.7396756111419,10.6513126189038
"Porites_compressa_HIv1___RNAseq.g10251.t1",10.3349080929433,10.5621843560195,10.598119695702
"Porites_compressa_HIv1___TS.g4899.t1",10.3349080929433,10.7734499325206,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10258.t1",10.3349080929433,10.3349080929433,10.624686406749
"Porites_compressa_HIv1___RNAseq.g10261.t1",10.3349080929433,11.1956851973162,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10263.t1",10.3349080929433,11.1266847245884,11.2531933106815
"Porites_compressa_HIv1___RNAseq.g10265.t1",10.3349080929433,10.8097415245922,10.3349080929433
"Porites_compressa_HIv1___TS.g4919.t1",10.3349080929433,10.5279385305024,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10274.t1",10.3349080929433,10.5310225033655,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10283.t1",10.3349080929433,10.8570860761094,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10285.t1",10.3349080929433,10.3349080929433,10.7528483189371
"Porites_compressa_HIv1___RNAseq.g10290.t1",10.3349080929433,10.4779013487581,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10292.t1",10.3349080929433,10.5117087164698,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10295.t1",10.3349080929433,11.0163600931736,11.4992302307268
"Porites_compressa_HIv1___RNAseq.g10300.t1",10.3349080929433,10.8220263122832,10.7239191974508
"Porites_compressa_HIv1___RNAseq.g10302.t1",10.3349080929433,10.3349080929433,10.8673802643694
"Porites_compressa_HIv1___RNAseq.g10306.t1",10.3349080929433,10.3349080929433,10.7163353474597
"Porites_compressa_HIv1___RNAseq.g10314.t1",10.3349080929433,10.6465581894045,10.7895528845044
"Porites_compressa_HIv1___RNAseq.g10315.t1",10.3349080929433,10.3349080929433,10.5023989843904
"Porites_compressa_HIv1___RNAseq.632_t",10.3349080929433,10.3349080929433,10.7313545698759
"Porites_compressa_HIv1___RNAseq.g10335.t1",10.3349080929433,10.5847859690273,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10344.t1",10.3349080929433,11.0834426827523,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10364.t1",10.3349080929433,10.6184436538237,10.3349080929433
"Porites_compressa_HIv1___TS.g5018.t1",10.3349080929433,10.624701155029,10.6063661843706
"Porites_compressa_HIv1___RNAseq.g10382.t1",10.3349080929433,10.8780742462953,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10388.t1",10.3349080929433,10.916679895946,10.4366072530728
"Porites_compressa_HIv1___RNAseq.g10389.t1",10.3349080929433,10.6348365453576,10.5381803464919
"Porites_compressa_HIv1___RNAseq.g10391.t1",10.3349080929433,10.5216169033512,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10395.t1",10.3349080929433,10.8022099569005,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10400.t1",10.3349080929433,11.0103733494174,10.3349080929433
"Porites_compressa_HIv1___TS.g5045.t1",10.3349080929433,10.5595314512594,10.6801037147378
"Porites_compressa_HIv1___RNAseq.g10407.t1",10.3349080929433,10.3349080929433,10.545302459947
"Porites_compressa_HIv1___RNAseq.g10410.t1",10.3349080929433,10.3349080929433,10.558863600906
"Porites_compressa_HIv1___RNAseq.g10416.t1",10.3349080929433,11.064730307644,10.3349080929433
