"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___RNAseq.g10161.t1",0,0,54
"Porites_compressa_HIv1___RNAseq.g10162.t1",0,685,121
"Porites_compressa_HIv1___RNAseq.g10167.t1",0,53,9
"Porites_compressa_HIv1___TS.g4822.t1",0,290,0
"Porites_compressa_HIv1___RNAseq.g10176.t1",0,24,0
"Porites_compressa_HIv1___RNAseq.g10185.t1",0,420,131
"Porites_compressa_HIv1___RNAseq.g10194.t1",0,35,0
"Porites_compressa_HIv1___RNAseq.g10203.t1",0,0,16
"Porites_compressa_HIv1___RNAseq.g10204.t1",0,60,0
"Porites_compressa_HIv1___TS.g4855.t1",0,270,7
"Porites_compressa_HIv1___RNAseq.g10215.t1",0,0,308
"Porites_compressa_HIv1___RNAseq.g10224.t1",0,1,186
"Porites_compressa_HIv1___RNAseq.g10250.t1",0,137,68
"Porites_compressa_HIv1___RNAseq.g10251.t1",0,43,47
"Porites_compressa_HIv1___TS.g4899.t1",0,161,0
"Porites_compressa_HIv1___RNAseq.g10258.t1",0,0,57
"Porites_compressa_HIv1___RNAseq.g10261.t1",0,634,0
"Porites_compressa_HIv1___RNAseq.g10263.t1",0,534,590
"Porites_compressa_HIv1___RNAseq.g10265.t1",0,189,0
"Porites_compressa_HIv1___TS.g4919.t1",0,31,0
"Porites_compressa_HIv1___RNAseq.g10274.t1",0,32,0
"Porites_compressa_HIv1___RNAseq.g10283.t1",0,229,0
"Porites_compressa_HIv1___RNAseq.g10285.t1",0,0,119
"Porites_compressa_HIv1___RNAseq.g10290.t1",0,17,0
"Porites_compressa_HIv1___RNAseq.g10292.t1",0,26,0
"Porites_compressa_HIv1___RNAseq.g10295.t1",0,393,968
"Porites_compressa_HIv1___RNAseq.g10300.t1",0,199,103
"Porites_compressa_HIv1___RNAseq.g10302.t1",0,0,194
"Porites_compressa_HIv1___RNAseq.g10306.t1",0,0,99
"Porites_compressa_HIv1___RNAseq.g10314.t1",0,81,141
"Porites_compressa_HIv1___RNAseq.g10315.t1",0,0,19
"Porites_compressa_HIv1___RNAseq.632_t",0,0,107
"Porites_compressa_HIv1___RNAseq.g10335.t1",0,52,0
"Porites_compressa_HIv1___RNAseq.g10344.t1",0,476,0
"Porites_compressa_HIv1___RNAseq.g10364.t1",0,67,0
"Porites_compressa_HIv1___TS.g5018.t1",0,70,50
"Porites_compressa_HIv1___RNAseq.g10382.t1",0,248,0
"Porites_compressa_HIv1___RNAseq.g10388.t1",0,285,7
