#Transcript position	Transcript coverage profile
0.0	10225.944918650262
1.0	13539.119843990464
2.0	15103.705646780352
3.0	16848.906597353824
4.0	18606.985843711624
5.0	20063.48748700905
6.0	22656.943714947687
7.0	23726.04860161652
8.0	24598.705369010197
9.0	25406.82993025676
10.0	26248.114259670394
11.0	27180.94673058452
12.0	27586.65715705674
13.0	27960.629093679367
14.0	29327.96376434563
15.0	29566.910292958273
16.0	29977.237775568152
17.0	30350.17363932388
18.0	30440.431748525833
19.0	30510.808417049535
20.0	30405.05413479132
21.0	30880.32558227354
22.0	30894.109195032757
23.0	30937.502881808534
24.0	30865.823986061438
25.0	31316.027508817053
26.0	31838.722812639193
27.0	32008.7141231234
28.0	32573.026465342868
29.0	31992.676784376956
30.0	32363.60620388705
31.0	33543.16137441246
32.0	33873.116985837536
33.0	34101.378972280385
34.0	33837.84596789989
35.0	34446.12861019412
36.0	34719.424757576744
37.0	34464.34877279719
38.0	34885.06757366921
39.0	34645.91418195135
40.0	34024.14746148729
41.0	33988.874854648006
42.0	34560.69073953315
43.0	34743.61013722044
44.0	35858.4632610868
45.0	35507.90219545207
46.0	35410.310964718
47.0	35328.814734408224
48.0	35244.29042936222
49.0	36262.026127796744
50.0	36044.88869311212
51.0	36438.303203422394
52.0	36550.763950792425
53.0	36716.43229058307
54.0	36763.146723901315
55.0	35505.66972131878
56.0	35115.590269720575
57.0	35786.64293932393
58.0	35834.112083855085
59.0	36072.96390541259
60.0	36408.32637613546
61.0	36478.812841803985
62.0	36547.13629816218
63.0	36303.39071829083
64.0	35896.886446486365
65.0	35214.52855473867
66.0	35351.71455757918
67.0	35083.19996886818
68.0	34465.372240264245
69.0	34993.01753007349
70.0	34680.14958396714
71.0	34073.384160938454
72.0	33488.25549332757
73.0	32736.107187222322
74.0	32515.279946202798
75.0	31509.100137918016
76.0	30352.75020469733
77.0	30079.878949719274
78.0	29527.423530277298
79.0	28849.04178768063
80.0	28175.72637822264
81.0	27459.976532755754
82.0	26272.4823408058
83.0	25548.337020906547
84.0	24322.60153307256
85.0	23166.048045783195
86.0	21360.64033083537
87.0	20606.209868017555
88.0	19210.835950742334
89.0	17445.027244653276
90.0	16217.496146709642
91.0	14063.840128416787
92.0	12550.323365439013
93.0	10865.96755277837
94.0	8543.795784766506
95.0	6787.21390362752
96.0	4652.639341631148
97.0	2967.4210166160533
98.0	1440.257948467112
99.0	395.1468356455099
