#Transcript position	Transcript coverage profile
0.0	0.007694110279094383
1.0	0.020160307294795652
2.0	0.020547507315722486
3.0	0.024426618748101342
4.0	0.015094205733922145
5.0	0.013364834952220758
6.0	0.013303575444629057
7.0	0.019211880396183347
8.0	0.013894642286368145
9.0	0.024126366594173852
10.0	0.022780958901837085
11.0	0.018166482122414247
12.0	0.010117295939602616
13.0	0.015857368646902258
14.0	0.013790028684061066
15.0	0.028147408046275395
16.0	0.014843613944047809
17.0	0.009116457996392435
18.0	0.020415346365949386
19.0	0.014806646748380732
20.0	0.011383530970283828
21.0	0.014665968556212241
22.0	0.0128214506816635
23.0	0.009068094936543035
24.0	0.008727155299719725
25.0	0.008140138508703845
26.0	0.014629453847975378
27.0	0.01586211883631696
28.0	0.005717983362145566
29.0	0.03783504614006446
30.0	0.030684811141178346
31.0	0.016000947024779593
32.0	0.021916663377726648
33.0	0.023174098744302582
34.0	0.026863778247202316
35.0	0.01641201565610567
36.0	0.013174941754600888
37.0	0.012039168592711518
38.0	0.01541290058483642
39.0	0.013831907998281327
40.0	0.01942970620919364
41.0	0.014191920312578802
42.0	0.011581521688712177
43.0	0.009581484938258632
44.0	0.023344796973383087
45.0	0.018937071038136705
46.0	0.019483356092548733
47.0	0.006475257786421134
48.0	0.0067240918943807515
49.0	0.011629398475937365
50.0	0.016466025369568225
51.0	0.03229174391223659
52.0	0.017457237066577945
53.0	0.01275035490299544
54.0	0.019547889225188787
55.0	0.012675131572325197
56.0	0.02648935822445867
57.0	0.0195291480909747
58.0	0.016748989644618774
59.0	0.014530317541407312
60.0	0.01458946114209108
61.0	0.013345471512515195
62.0	0.018994020405660852
63.0	0.017229361759816028
64.0	0.02573580206937365
65.0	0.014977975373211494
66.0	0.019297190400497835
67.0	0.01668545521313943
68.0	0.012789818497629687
69.0	0.02603836387616952
70.0	0.02543063461656517
71.0	0.019435826391960953
72.0	0.02975508622483942
73.0	0.024594445246200115
74.0	0.025506726253359896
75.0	0.0063996294814375335
76.0	0.01670192572903142
77.0	0.012553490490715944
78.0	0.02597701362785996
79.0	0.019008747040146337
80.0	0.03208985741977853
81.0	0.02059092722503014
82.0	0.02201031996861344
83.0	0.02006507708103112
84.0	0.011336470294564416
85.0	0.013522855726482905
86.0	0.015112873797014611
87.0	0.00796848328524848
88.0	0.027231859985349088
89.0	0.032017400825572515
90.0	0.021289660117684444
91.0	0.014136463885828843
92.0	0.031663994498235946
93.0	0.01635862880839962
94.0	0.009101118514648197
95.0	0.018170411802867954
96.0	0.01425937106125575
97.0	0.015074551223801224
98.0	0.007793117652274109
99.0	0.0019061234214915416
