#Transcript position	Transcript coverage profile
0.0	7573.603347865598
1.0	10203.710010162693
2.0	11299.6075793173
3.0	12687.48378539738
4.0	14096.223964045384
5.0	15216.069901340497
6.0	17515.17442912694
7.0	18306.489101200932
8.0	18990.651708581052
9.0	19628.916167053896
10.0	20321.083296339024
11.0	21123.051739006947
12.0	21425.25398938992
13.0	21619.690252082033
14.0	22889.725141465457
15.0	23079.86624277362
16.0	23360.568246010782
17.0	23636.6922847305
18.0	23678.537452943485
19.0	23672.753568871565
20.0	23512.603386347393
21.0	23935.117081795386
22.0	23907.33537989161
23.0	23954.330871938746
24.0	23869.835481088456
25.0	24308.30606394372
26.0	24791.973908888172
27.0	24942.10341179094
28.0	25495.832363361347
29.0	24900.53257460638
30.0	25214.03025401351
31.0	26398.463933467352
32.0	26703.042518143513
33.0	26899.39586364786
34.0	26631.866630482586
35.0	27168.16752190768
36.0	27440.29236899898
37.0	27169.63625883858
38.0	27584.272175135335
39.0	27340.155019746246
40.0	26677.77805828652
41.0	26624.378836375694
42.0	27183.835915581905
43.0	27335.359523307587
44.0	28414.611809947506
45.0	28034.59046917662
46.0	27908.11157400492
47.0	27847.857569986052
48.0	27691.607084695403
49.0	28711.23640645881
50.0	28499.355562328215
51.0	28851.845364049022
52.0	28954.287788451154
53.0	29073.20610901424
54.0	29078.99633209275
55.0	27777.91340470942
56.0	27345.48697502178
57.0	27962.375422434296
58.0	27970.575078437047
59.0	28245.583495809755
60.0	28530.348156166907
61.0	28535.213611664112
62.0	28612.771215310884
63.0	28329.664618816783
64.0	27942.096914251422
65.0	27232.04554705227
66.0	27326.758050878085
67.0	27042.804370131707
68.0	26435.579764121052
69.0	26915.96943393325
70.0	26605.373336983565
71.0	25982.14966656801
72.0	25420.57064742479
73.0	24725.39020998992
74.0	24544.674193000537
75.0	23598.872684548638
76.0	22508.81682045197
77.0	22250.627927978105
78.0	21726.270860161512
79.0	21074.56986973013
80.0	20495.047105946232
81.0	19810.408191659553
82.0	18699.795448464785
83.0	18099.08558762781
84.0	16980.807432126297
85.0	16002.933784643832
86.0	14387.492231345683
87.0	13850.355478459145
88.0	12758.573840348392
89.0	11337.7617400658
90.0	10476.288491681114
91.0	8673.13246369022
92.0	7607.693811546551
93.0	6531.077956590349
94.0	4794.549443444778
95.0	3616.5378320112054
96.0	2205.8664851390417
97.0	1307.372977592249
98.0	508.749185543988
99.0	121.86352260559579
